"Materia;Pregunta;Respuesta_correcta;Opcion2;Opcion3;Opcion4;Explicacion"
"logica;¿Qué número tiene el mismo número de letras que el valor que expresa? ;5;3;4;1; Porque tiene 5 letras."
"logica;Soy como una escalerita, o como un hombre sentado. ¿Qué número soy?;4;9;7;5; Parece un hombre sentado."
"logica;Si estas en una carrera y adelantas al segundo...¿Qué puesto quedarías?;segundo;primero;tercero;ultimo; Si pasas al segundo le estarias quitando su posicion y tu volviendote el segundo."
"logica;Hay gatos en un cajón. Cada gato ve 3 gatos. ¿Sábes cuantos gatos son?;4;3;Foto o fake;9; Si cada gato ve 3, entonces si lo contamos al que esta viendo serian 4."
"logica;Yendo a Villavieja me crucé con 7 viejas, cada vieja 7 sacos, cada saco 7 ovejas. ¿Cúantas viejas y ovejas iban a Villavieja? Escribe solo el número.;0;7;49;No lo se rick parece falso; Serian 0 debido a que si yo voy a Villavieja las viejas que me crucé, no van a Villavieja."
"logica;¿Cúal es el número que si le quitas la mitad vale cero?;8;0;7;0,5;Si cortas por la mitad el 8 te queda el 0"
"logica;Un agricultor tiene 3 montones de paja en el prado y 4 montones en el pajar. Si los juntara todos...¿Cúantos montones tendría?;1;7;4;3;Si junto todos los montones solo tengo 1"
"logica;Si dos hombres hacen dos hoyos en dos días. ¿Cúantos días necesita un solo hombre para hacer un hoyo? Solo pon el número de días que necesita.;2;1;0;3;Dos hombres hacen dos hoyos en dos días. Unos solo haría la mitad, es decir en 2 días haría 1."
"logica;Si Ángela habla más bajo que Rosa y Celia habla más alto que Rosa, ¿habla Ángela más alto o más bajo que Celia?;mas bajo;mas alto;igual;No lo se rick parece falso;Debido a que cecilia hablas mas alto que rosa y angela mas bajo que rosa."
"logica;Andrés: Cuando yo digo la verdad, tú también.Pablo: Cuando yo miento, tu también.¿Es posible que en esta ocasión uno mienta y el otro no?;No es posible;Si es posible;No se puede definir; Me rindo dame la respuesta;No es posible. La falsedad de la afirmación de Andrés implica la falsedad de la afirmación de Pablo y viceversa. "
"logica;Hay meses que tiene 30 dias y otros 31 días. ¿Cuantos meses tienen 28 días?;12;1;0;depende del año;12 meses. Todos los meses tienen minimo 28 días."
"logica;El Padre de Ana tiene 4 hijas. Una se llama Ena, otra Ina y otra Ona. ¿Cómo se llama la otra hija?.;Ana;Una;Nena;Rick;Recuerden que al inicio dicen ""El papa de ana""."
"logica;El papa de maria tiene 5 hijas. Se llaman papa, pepa, pipa, popa y la quinta se llama:;maria;pupa;popo;No lo se rick parece falso;Recuerden que al inicio dicen ""El papa de maria""."
"logica;Todos los neumáticos son de goma. Todo lo de goma es flexible. Alguna goma es negra. Según esto, ¿cuál o cuáles de las siguientes afirmaciones son ciertas?;Todos los neumáticos son flexibles.;Todos los neumáticos son flexibles y negros.;Todos los neumáticos son negros.;Algunos neumáticos son de goma.;La unica que se cumple es que todos son flexibles, las demas son falsas."
"logica;De cuatro corredores de atletismo se sabe que C ha llegado inmediatamente detrás de B, y D ha llegado en medio de A y C. ¿Podría decir el orden de llegada?;B-C-D-A;C-D-B-A;D-A-B-C;No se, dame la respuesta;Debido a la secuencia q es presentada."
"Logica;¿Qué pasa en todos los países incluyendo días festivos de 5 a 6 de la tarde?;1 hora;el cafe;la playa;el invierno;"
"Lógica; En una pecera hay 5 peces, si todos corren ¿Cuántos agarras? Todos ;Ninguno;2;1; Todos por que los peces no corren si no NADAN."
"logica;Un conejo vió a 6 elefantes mientras se dirigía al río, cada elefante vió a 2 monos que también se dirigían al río y cada mono lleva 1 loro en la mano... ¿Cuántos animales van al río?;5;11;7;6;Los elefantes no se dirigian al rio."
"logica;Si yo recorro 750 kilometros por hora ¿Cuántos kilometros recorro en una hora?;750km;250km;100km;60km; Si voy a una velocidad de 750km por hora , significa que por cada hora que pase habre recorrido 750km"
"logica;Si tengo ciento cincuenta monos y siento cincuenta ¿Cuántos me quedan?;150;100;50;0;Sigo teniendo 150. 100 parados y 50 sentados."
"logica;Si hay ciento cincuenta sillas y siento cincuenta niños ¿Cuántas sillas quedan?;150;100;50;0;Sigo teniendo 150 sillas. 100 ocupadas y 50 libres."
"Lógica ;Si tú vas manejando un camión y el camión tiene 50 personas; se bajan siete ¿Cuántos años tiene el conductor? ;Igual a la mia;28;25;50;Tiene tu edad ya que tú eres el conductor y las personas que se bajan no tienen nada que ver."
"Logica;Tengo 34 caballos, 15 cerdos y 13 gallinas. Si a los cerdos les llamamos caballos ¿Cuántos caballos tengo?34;50;49;13;Tengo 34 caballos porque aunque cambie el nombre no va a cambiar fisicamente"
"Lógica;Hay un gato en cada rincón y cada uno ve tres ¿Cuántos gatos hay?;4 gatos;3gatos;ninguno;1gato;Los gatos no se ven así mismo ven al resto"
"Lógica;Tengo 100 velones(velas) prendidos ¿Cuántos tengo apagados?2;100;5;ninguno;Tengo 98 velones apagados y dos prendidos"
"Lógica;¿Qué números iguales sumados dan 60?;55+5;222+2;111+1;88+8;Las Matematicas son exactas 55+5=60"
"Lógica;¿Cómo sacas a un elefante de una piscina? ;Mojado; Corriendo; Saltando;  Con La Trompa; Debe de salir mojado porque entro en un lugar con agua "
